y,x,z
55.3585,13.4182,0
57.6697,12.5786,0
57.7906,12.0338,0
56.01224,14.15279,0
56.800894625629,12.988019537875,0
56.2124,15.5167,0
59.847,17.597,0
59.367889889406,13.111721779450,0
55.496231,13.003557,0
59.4679,17.7936,0
59.48372,18.25438,0
56.5821100000,16.408600000,1
58.09153,11.87127,1
58.5897,13.156383,1
56.1338005,13.1169996,1
57.709527,12.959132,1
55.883022921332,12.996867604230,1
55.417646,12.970959,1
57.903376,11.899048,1
57.740719,11.793569,1
56.4332008,12.8846998,1
57.457458,12.175694,1
57.713808,12.006734,1
55.579206,12.967393,2
56.163747,13.790961,2
55.522544444444,13.219588888888,2
57.81904,12.02138,2
